text,labels
"From a gender perspective, Paulgaard points out that the labour markets of the fishing villages have been highly gender-segregated in terms of the existence of ""male jobs"" and ""female jobs""; however, the new business opportunities have led to the male population of the peripheral areas now working in the service industry in former ""female jobs"": ""That boys and girls are doing the same jobs indicates change, because traditional boundaries between women and men's work are being crossed. But the fact that young people are still working represents continuity with the past"" (Paulgaard 2002: 102). When Paulgaard refers to continuity with traditions, she refers to the expectations of young adults to participate in adult culture, thus these fishing villages traditionally have no actual youth culture. As described earlier, Paulgaard (2015) concludes that in some of Norway's peripheral areas school is still 'foreign', a time waster stealing time from young adults who should instead spend their time on what is considered to be ""real"" work.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Labour legislation regulates maximum working hours, industrial safety, minimum wages and benefits for workers and the prevention of child labour, but enforcement, if any, is weak. Therefore, the immigration laws applicable in Western countries cannot be applied to these workers. T. H. including basic public services. ,,","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The average figure also masks large differences across regions in Kazakhstan. The number of annual contacts ranges from 2.0 in Astana to 9.7 in Mangystau, and some parts of the population are likely to have very limited access to primary care. In addition, poor coverage of outpatient prescription medicines limits both the effectiveness (and appeal) of care at PHC level.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The extent to which they are akin to corruption is difficult to assess. In 2005, the government implemented an anti-corruption campaign, which decreased the frequency of informal payments. The Ministry' of Health too has been taking steps to reduce corruption and fraud. In 2009, the European Healthcare Fraud and Corruption Network Excellence Award was granted to Mrs. Ewa Kopacz, then Minister of Health, for her anti-corruption and anti-fraud actions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A region reporting a higher rate will not earn points for this indicator. This means for example that activities that were carried out in 2012 are rewarded financially through the P4P scheme in 2014. The level of payment in the P4P scheme is set deliberately low at the start of the programme to avoid gaming and crowding out intrinsic motivation.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"These findings are consistent with previous work that examined differences in wage inequality across countries (Blau and Khan, 2005; Fournier and Koske, 2012). Returns to education are also found to be an important role in explaining the rise in earnings inequality (see Autor, 2014). In these countries, however, the magnitude of the contribution is quite small. Two types of explanation are commonly proposed in the literature. The first emphasises relative supply and demand for skills: characteristics in lower (net) supply get higher rewards. The second, emphasises the role played by labour market institutions such as minimum wages, the degree of unionisation and the rules governing wage bargaining.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Each section states the economic principle, reviews international good practice and discusses the situation in Brazil. Drawing from international experiences, it concludes with sketching some policy recommendations. The use of such data by the OECD is without prejudice to the status of the Golan Heights, East Jerusalem and Israeli settlements in the West Bank under the terms of international law. A first observation is that regardless of the constitutional setting (federal or unitary), in the most advanced systems, water abstraction charges are commonly managed at sub-national levels.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Israel Oceanographic and Limnological Research station monitors the quantity and quality of water along the coastline of the Mediterranean Sea. The Nature and Parks Authority (NPA) monitors water quality in rivers on behalf of the MoEP. Mekorot and local authorities monitor drinking water quality under the supervision of the Ministry of Health. The Ministry of Health monitors effluent quality prior to its use in the agricultural sector.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Previous chapters have discussed ways to make food systems more supportive of food security and better nutrition. Nutrition-sensitive food systems can give consumers better options, but ultimately it is consumers who choose what they eat. What consumers choose to eat influences their own nutritional outcomes and sends signals back through the food system - to retailers, processors and producers - that shape both what is produced and how sustainably it is produced.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"To encourage N runoff reductions by farmers, the government set up a cap to current loads and a buy-back 20% of the quotas. Farmers received allocations and were encouraged to reduce their nitrogen emissions to gain from selling water discharge allowances. Reducing soil erosion brings longterm soil-productivity gains and additional benefits, mainly improving water quality by reducing agricultural nonpoint pollution in drinking water (including fertiliser runoff, leaching, and nutrient contamination). Other conservation programmes that were initiated alongside the CRP included Swampbuster, Sodbuster, and Conservation Compliance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The distinction needs to be made between normal risks that are frequent but generate limited damage and catastrophic risks that are rare but have large consequences for individuals or regions. These latter risks should be the main focus of policy actions, keeping in mind the pre-existing policy environment and the whole set of risks affecting the targeted population. Ex ante measures for risk mitigation, in particular income tax smoothing systems for agriculture are also used.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Prescription rates appear to be higher where labour force participation is lower. There is also a possible relationship between drug use and disability. This may arise after the definition of disability was extended to include chronic conditions. Krueger (2017(47)) found that around one-fifth of the non-participating prime age males were also regularly taking opioid painkillers.,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"By contrast, the share of working-age households with a working man remained relatively stable (at 76%) over time in most countries (Panel A). Germany, nevertheless, witnessed a significant decline (by about 15 percentage points) in men’s employment participation among households during this period. A. Households with a male worker Panel. In Spain, for instance, in 1995 only 22% (25%) of households had a woman working full-time (full-year), compared to 42% (52%) in the year prior to the crisis. Dutch women are now working more weeks per year, though not more hours per week.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Parents pay a maximum fee for kindergarten only (between 15.8% and 22.5% of total costs in 2011, depending on whether the kindergarten is public or private). Counties are responsible for upper secondary education, which they finance through taxes and block grants. Costs in this sector vary considerably from one region to another. Additional state subsidies and provisions are given to avoid regional disparities. Private kindergartens (50% of all kindergartens) are also financed by the state through the block grants to municipalities.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"It does not include activities where the support for the private sector is channelled through public sector agencies e.g. credit lines through state owned banks or challenge funds managed by NGOs, which are covered in the second category. This approach has been used in two previous OECD analyses in Miyamoto and Chiofalo (2015) and Miyamoto and Biousse (2014). This approach has been used in a previous OECD analysis in Brown and Wang (2015).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The rapid assessment takes into account the damage and losses for selected sectors such as housing, infrastructure and agriculture, with disaster risk reduction as a cross cutting sector. This will be a step-by-step guide on conducting rapid damage assessments for the selected sectors using space, geospatial modelling, crowdsourcing and other web-based technology. The manual was pilot tested following the PDNA for the 2015 Nepal earthquakes and the methodology was reviewed by experts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
