Title,Abstract,SDG_Labels,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
"""Cairo must address the equity issue."" Interview: Sandra Postel.","Sandra Postel, of the Worldwatch Institute, believes that inequalities in consumption and income foster environmental degradation. The richest 20% are getting richer and consuming excessively. The bottom 20%, comprising about 1 billion people, are getting poorer and are degrading their environment in order to survive. Per capita availability of resources is continually being reduced. If there is a desire to improve the quality of life for the poorest segment of the world population, then the richest must forfeit something. Environmental taxation could reduce excessive consumption in general; this strategy would be the most efficient and useful. Taxes would be placed on pollution and resources in danger of depletion; income taxes could be reduced to balance the impact of increased taxes on the economy. Wealthy countries must make a renewed commitment to poverty alleviation and to realistic sustainable development. Aid budgets should no longer reflect military priorities or strategic objectives. Trade is clearly related to the environment and poverty, and these connections must be made publicly known. National and international trade policies must deal with poverty issues and not contribute to further environmental destruction. Eliminating debt problems is another problem in need of change. The World Bank and structural adjustment policies have not proved to be environmentally sound and have not benefitted the poor. Evaluation of programs is needed, and lending policies should reflect the growing awareness of the problems of the poor and environmental consequences. Consumption of energy, wood, paper, and water are all higher among industrialized wealthy countries. Technology needs to be applied to maximize resource use, and policies must reflect this commitment. Israel has set a good example with water consumption reduction through advanced technology.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"""Neo-dualism"" in Peruvian politics; El ""neodualismo"" de la política Peruana","2007 in Peru was characterized by a type of ""neo-dualism"". On the one hand, there is a part of the country that is more urban, modern, and coastal, which is relatively optimistic about the future, that is involved in the expansion of the economy. On the other hand, we have another part of the country that is more rural, in the the highlands, in the amazonic forest, where the benefits of economic growth are not perceptible, where poverty levels remain high, and where the legitimacy of political institutions remain low. Economic growth has increased this inequality and has revealed the institutional limitations of the State to adequately manage existing resources. This has created social tensions, that are expressed in increasing social conflict, and in the decline of the levels of support to President García's administration. Despite all this, the current administration has ratified its policy of promotion to private investment, and has overlooked institutional reforms and social policies. This administration seems to believe that economic growth by itself will gradually reduce social unrest; the only ones that could disrupt this policy are those who oppose private investment for ideological reasons.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"""Presidents of color,"" globalization, and social inequality","In this era of globalization, social inequality based on racial attributes is increasingly perceived as anachronistic. Moreover, citizens of racially diverse countries have gained a new consciousness, which occasionally translates into electing a president from a racially underrepresented group. However, although members of these racially underrepresented groups have obtained presidential appointments, racism and social inequality persist. This article sheds light on the trans-national discourses of reverse discrimination that result from the election of ""presidents of color."" It suggests that while these discourses take different shapes and forms, they aim to minimize the continuities of racialized relations, thereby painting utopian pictures of modern societies. The article also reveals the extent to which these leaders can reduce the social inequalities and racism plaguing their countries. By examining the legacy of Nelson Mandela in South Africa and the presidency of Bolivia's Evo Morales, this article argues that to accomplish these intertwined goals, Barack Obama and other presidents from racially underrepresented groups must enact local policies that contradict the logics of globalization, which is based on the free movement of labor and capital. © 2010 The Author(s).",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"""ellen Is Our Man"": Perceptions of gender in postconflict Liberian politics","This article examines the nature of shifting gender roles in Liberia's postconflict reconstruction process. Specifically, it investigates the ways in which political authority is gendered and the agency that women in politics employ to justify their participation as they attempt to reduce gender inequalities at the institutional level. I argue that the intervention of the international community has been instrumental in providing space and resources for gender mainstreaming, however in the absence of more in-depth intersectional analyses of gender dynamics, the unintended consequences of peacebuilding policies could hinder the sustainability of long-term peace. This article is based on a qualitative research country study conducted by the author in rural and urban Liberia following the election of Ellen Johnson Sirleaf. A discussion of key findings is exemplified with excerpts from key informant interviews and focus group discussions that seek to give voice to a cross-section of Liberians, so that they can contribute to the ongoing debate on gender mainstreaming in postconflict societies and bridge the gap between local and international discourses.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"#WhatWomenWant: A new accountability paradigm and expanded accountability mechanisms through leveraging social media, catalysing movements, and building leadership","Positive shifts in the global policy landscape have contributed to situating gender equality at the centre of programmes to address HIV, advance sexual and reproductive health and rights (SRHR) and eliminate violence against women and girls. Achieving the 2030 Agenda for Sustainable Development–in particular Goals 3: “Ensure healthy lives and promote well-being for all at all ages” and 5: “Achieve gender equality and empower all women and girls” (United Nations, 2015)–requires new strategies and new thought leadership. Gender activists and feminists have mobilized to make their voices heard on the issues that matter to them on the virtual #WhatWomenWant platform. Girls and young women mobilizing around HIV and SRHR want a new paradigm to hold governments accountable to the commitments they have made. This profile briefly considers the shifts in the policy environment and implications for gender equality and argues for a new accountability paradigm in which young women and girls in Eastern and Southern Africa are leaders and agents in the change they want.","3,5",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"'Even though a man takes the major role, he has no right to abuse': Future male leaders' views on gender-based violence in Sri Lanka","Background: Distinct gender roles influence gender inequality and build the foundation for gender-based violence. Violence against women is a major public health problem in all societies, and a violation of human rights. Prevalence surveys on gender-based violence have been published from Sri Lanka, but qualitative studies on men's perceptions are lacking. Objectives: The aim of this study was to explore young educated Sri Lankan men's perceptions of violence against women. Methods: Seven focus-group discussions were held. Men at the end of their university studies were purposefully selected. A topic guide was used, covering various scenarios of violence against women. Qualitative content analysis was carried out. Results: Four categories were developed through the analytic process: fixed gender roles – patriarchal values are accepted in society, female mobility control, and slowly changing attitudes; violence not accepted but still exists – sexual harassment exists everywhere, different laws for different people, female tolerance of violence, and men's right to punish; multiple factors cause violence – alcohol, violent behavior is inherited, violence culturally accepted, low education, and lack of communication; and prevention of violence against women – both parents must engage and socialize girls and boys equally, life skills education, premarital counselling, working places value clarification, and more women in politics and boards are suggested. Conclusions: Medical and management students, possible future male leaders of the country, have suggestions of prevention strategies in life skills to reduce gender-based violence and to increase knowledge of health consequences with the aim of changing attitudes.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"'Fair' inequality, consumption and climate mitigation","Economic inequality and climate change are pressing issues that have climbed high up the political agenda, yet action to mitigate both remains slow. As income is a key determinant of ecological impacts, the Global North - and wealthier classes elsewhere - are the primary drivers of global carbon emissions, while the least well off have contributed the least yet are set to be hit hardest by climate impacts. These inequalities are clearly unjust, but the interrelations between economic inequality and ecological impacts are complex, leaving open the question of whether reducing the former would mitigate the latter, in the absence of reductions in total economic output. Here, we contribute to these debates by estimating the carbon-footprint implications of reducing income (and hence expenditure) inequalities within 32 countries of the Global North to the levels people consider to be fair; levels that are substantially smaller than currently exist. We find that realising these levels of economic inequality brings comparable reductions in carbon-footprint inequalities. However, in isolation, implementing fair inequalities has a negligible impact upon total emissions. In contrast, recomposing consumption - by reducing inequalities in household expenditure and the overall levels, then reallocating the reductions to public services - reduces carbon footprint by up to 30% in individual countries and 16% overall and, crucially, still allows the consumption of those at the bottom to rise. Such reductions could be significant on a global level, and they would be additional to the full range of conventional technological and demand-side measures to reduce carbon emissions.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'Growing' social protection in developing countries: Lessons from Brazil and South Africa,"The rapid expansion of social protection in the South provides a rich diversity of experiences and lessons on how best to reduce poverty and ultimately eradicate it. Knowledge on how best to 'grow' social assistance, understood as long-term institutions responsible for reducing and preventing poverty, is at a premium. This article examines the expansion of social assistance in Brazil and South Africa, two of the middle income countries widely perceived to have advanced furthest in 'growing' social protection. It examines three aspects: the primacy of politics in explaining the expansion of social protection and assistance, the tensions between path-dependence and innovation in terms of institutions and practices, and the poverty and inequality outcomes of social assistance expansion. The article concludes by drawing the main lessons for other developing countries. © 2013 Copyright Development Bank of Southern Africa.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
( Moroccan agriculture at the beginning of the 1980s - situation and prospects 1).; L' agriculture marocaine au debut des annees 80: situation et perspectives (1).,"This article describes an important aspect of the Moroccan economy where agriculture still directly employs 45% of the working population. The country is not self-sufficient, and plans are described to improve self-sufficiency, earn foreign currency by exports and reduce regional inequalities in the rural world. Production and agricultural structures are described as well as some aspects of agricultural strategy in Morocco.-A.Scarth",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
(How) do flexible labour markets really work? The role of profitability in influencing unemployment,"This paper assesses the theoretical justifications available for policies of flexible labour markets (FLMs) in reducing the level of unemployment in developed economies. It empirically assesses the OECD's rationalisation of policy linking profitability to investment and job creation in four country cases. New capital investment is found to be significant for unemployment in all cases but it is not found to be a consequence of the mechanistic achievement of 'normal' profits. Without an empirically supported mechanism for how FLMs reduce unemployment, the policy is open to the accusation of being no more than a political tool for altering distribution, without concern for the wider socio-economic consequences. © The Author 2008. Published by Oxford University Press on behalf of the Cambridge Political Economy Society. All rights reserved.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
